id,listing_url,name,neighbourhood_cleansed,zipcode,country,latitude,longitude,room_type,accommodates,price,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
13866156,https://www.airbnb.com/rooms/13866156,Amazing One Bedroom Condo in South Boston!,South Boston,2127,United States,42.329403725033046,-71.0545329779365,Entire home/apt,2,$150.00,99,10,10,10,10,9,10
13866351,https://www.airbnb.com/rooms/13866351,Beautiful and Cozy Entire Apt in Boston,Dorchester,2121,United States,42.29928699924186,-71.0783821194699,Entire home/apt,8,$190.00,98,10,10,10,10,9,10
13874533,https://www.airbnb.com/rooms/13874533,MiniStudio w/Parking Close to Dwntn,East Boston,2128,United States,42.375658664017465,-71.03266072695862,Entire home/apt,2,$129.00,94,10,9,10,10,10,9
13883902,https://www.airbnb.com/rooms/13883902,1 bedroom apt close to Airport and Downtown,East Boston,2128,United States,42.36890208726047,-71.03646555168768,Entire home/apt,3,$115.00,89,9,9,10,10,10,9
13884549,https://www.airbnb.com/rooms/13884549,Cozy private room conveniently located,East Boston,2128,United States,42.366649609172754,-71.0378679479571,Private room,2,$70.00,97,10,10,10,10,10,10
13907143,https://www.airbnb.com/rooms/13907143,Bright and very spacious private room,Hyde Park,2136,United States,42.23615182173648,-71.12721617790893,Private room,2,$47.00,97,10,10,10,10,9,10
13908031,https://www.airbnb.com/rooms/13908031,"Modern Room, Private Bath near airport & city",East Boston,2128,United States,42.368600546948386,-71.03378639739479,Private room,2,$105.00,96,10,9,10,10,10,9
13912467,https://www.airbnb.com/rooms/13912467,14 Gloucester Street Apartment 3A,Back Bay,2115,United States,42.35047733098711,-71.08384618931507,Entire home/apt,4,$98.00,93,9,10,10,10,10,9
13912470,https://www.airbnb.com/rooms/13912470,14 Gloucester Street Apartment 3B,Back Bay,2115,United States,42.34996452066192,-71.0843887624094,Entire home/apt,4,$98.00,95,10,10,10,10,10,10
13918656,https://www.airbnb.com/rooms/13918656,Historical S.End Brownstone T-2 from July 1,Roxbury,2120,United States,42.33836819509428,-71.08181550607551,Entire home/apt,6,$350.00,80,8,7,10,10,7,7
13924495,https://www.airbnb.com/rooms/13924495,"4B2B Near T, Boston downtown, Convention Center",South Boston,2127,United States,42.338977106523124,-71.05089379773115,Entire home/apt,10,$356.00,88,9,9,10,10,10,9
13926272,https://www.airbnb.com/rooms/13926272,Back Bay with view of the Charles!,Back Bay,2116,United States,42.352770878399596,-71.08120585252954,Entire home/apt,2,$225.00,100,10,10,10,10,10,10
13926284,https://www.airbnb.com/rooms/13926284,"Beacon Hill Apt, close to Red line and Downtown",Beacon Hill,2114,United States,42.360106309736935,-71.068850176612,Entire home/apt,4,$150.00,100,10,10,10,10,10,9
13926704,https://www.airbnb.com/rooms/13926704,bedroom with porch,East Boston,2128,United States,42.38989750115748,-71.00338987041474,Private room,1,$50.00,87,8,8,10,10,9,9
13927765,https://www.airbnb.com/rooms/13927765,Beautiful Parkside Boston Apartment,Dorchester,2124,United States,42.29133170122076,-71.06828859973474,Entire home/apt,4,$195.00,98,10,10,10,10,9,10
13937181,https://www.airbnb.com/rooms/13937181,Guest Room in Cozy Home,Roslindale,2131,United States,42.27636367614069,-71.13643292507432,Private room,2,$45.00,98,10,10,10,10,9,10
13943142,https://www.airbnb.com/rooms/13943142,Chinatown Single Bedroom,Chinatown,2111,United States,42.3484689315437,-71.06020839932364,Private room,2,$95.00,80,10,10,8,6,10,10
13951579,https://www.airbnb.com/rooms/13951579,TWO FLOOR CONDO W/ PRIVATE DECK & ROOF DECK,Charlestown,2129,United States,42.38226548986314,-71.06999257487924,Entire home/apt,6,$219.00,94,10,9,10,10,9,10
13959444,https://www.airbnb.com/rooms/13959444,BEAUTIFUL BOSTON BROWNSTONE,Roxbury,2118,United States,42.340188108834035,-71.08245293339876,Entire home/apt,4,$400.00,100,10,10,10,10,10,10
13972298,https://www.airbnb.com/rooms/13972298,"Devonshire Place, Lux 2Bed Dwtwn Financial Area",Downtown,2109,United States,42.359293022173915,-71.0586038068786,Entire home/apt,4,$179.00,80,8,8,8,8,10,8
13978700,https://www.airbnb.com/rooms/13978700,Luxury G-3 new year better than ever,Roxbury,2121,United States,42.310767659335966,-71.08626930861664,Entire home/apt,8,$450.00,90,9,9,10,10,8,9
13993185,https://www.airbnb.com/rooms/13993185,Charming Beacon Hill One Bedroom,Beacon Hill,2114,United States,42.35980510467375,-71.06881615036389,Entire home/apt,3,$190.00,97,10,10,10,10,10,10
13993626,https://www.airbnb.com/rooms/13993626,Great Apt offered near Boston University!,Brighton,2135,United States,42.34804797691153,-71.1414951889217,Private room,2,$50.00,,,,,,,
13995462,https://www.airbnb.com/rooms/13995462,"City living next to water, airport and T.",East Boston,2128,United States,42.36455375175067,-71.02886066028167,Entire home/apt,2,$150.00,,,,,,,
14025330,https://www.airbnb.com/rooms/14025330,North End 1 Bedroom,North End,2113,United States,42.36418726646098,-71.05608049928902,Entire home/apt,2,$118.00,,,,,,,
14025410,https://www.airbnb.com/rooms/14025410,"Beacon Hill private studio, near Charles St.",Beacon Hill,2114,United States,42.35998238011228,-71.06812793775775,Entire home/apt,2,$99.00,100,10,10,10,10,10,10
14035943,https://www.airbnb.com/rooms/14035943,Gorgeous unique 3BR/3BA duplex North End. (MG-1),North End,2113,United States,42.364751725711294,-71.05228017156112,Entire home/apt,7,$349.00,95,9,9,9,10,10,9
14044530,https://www.airbnb.com/rooms/14044530,Nice bedroom in Allston area,Allston,2134,United States,42.35338920079029,-71.126556022032,Private room,2,$48.00,,,,,,,
14057189,https://www.airbnb.com/rooms/14057189,Charming apartment in Brighton! Free Parking/ Pool,Brighton,2135,United States,42.344361199299534,-71.1670773414964,Private room,2,$100.00,98,10,10,10,10,10,9
14057466,https://www.airbnb.com/rooms/14057466,2 BR | 1 BA  Close to Downtown & Medical Free Prkg,Jamaica Plain,2130,United States,42.31357233912847,-71.1138193264009,Entire home/apt,4,$150.00,96,10,10,10,10,10,10
14071446,https://www.airbnb.com/rooms/14071446,Twins in a peaceful room.,Jamaica Plain,2130,United States,42.32249608513066,-71.11475792071663,Private room,2,$65.00,100,10,10,10,10,10,10
14081071,https://www.airbnb.com/rooms/14081071,Private room in a nice cozy apartment!,Brighton,2135,United States,42.34158936296609,-71.1493389954488,Private room,2,$58.00,100,10,10,10,10,10,10
14086516,https://www.airbnb.com/rooms/14086516,# friendly family home,Mattapan,2126,United States,42.27513774634284,-71.07739961831643,Private room,3,$70.00,99,10,10,10,10,10,10
14086550,https://www.airbnb.com/rooms/14086550,3rd flr hide-away in beautiful home in Central JP,Jamaica Plain,2130,United States,42.31235754913816,-71.1172236206738,Entire home/apt,2,$120.00,98,10,10,10,10,10,10
14091605,https://www.airbnb.com/rooms/14091605,⍟ Lofty South End Room with Street Parking! ⍟,South End,2118,United States,42.34071458337621,-71.07406084459463,Private room,2,$25.00,96,10,10,10,10,10,10
14094279,https://www.airbnb.com/rooms/14094279,One of the best rooms in Boston. Period.,South End,,United States,42.34442714881363,-71.06408580697922,Private room,2,$255.00,100,10,10,10,10,10,10
14104621,https://www.airbnb.com/rooms/14104621,"Simple, comfortable and convenient",North End,2113,United States,42.36591852353609,-71.0531419142005,Entire home/apt,2,$200.00,98,10,10,10,10,10,10
14105971,https://www.airbnb.com/rooms/14105971,Tranquil Treetop Loft,Jamaica Plain,2130,United States,42.30906284664378,-71.1114197330592,Entire home/apt,2,$129.00,99,10,10,10,10,10,10
14109003,https://www.airbnb.com/rooms/14109003,"3rd floor condo, 2 bedrooms, 2 decks",Jamaica Plain,2130,United States,42.32267988827825,-71.11561971775167,Entire home/apt,4,$117.00,,,,,,,
14110777,https://www.airbnb.com/rooms/14110777,Great Room w/ Couch 1 Block away Public Transit!!!,Roxbury,2121,United States,42.317683707701576,-71.08876225798197,Private room,1,$80.00,88,10,8,10,10,8,9
14125957,https://www.airbnb.com/rooms/14125957,Walk everywhere from this South End garden studio,South End,2116,United States,42.34369552432539,-71.07810031710834,Entire home/apt,2,$150.00,99,10,10,10,10,10,10
14147343,https://www.airbnb.com/rooms/14147343,Cozy Brownstone in Backbay,Back Bay,2115,United States,42.349597769716915,-71.08934622692323,Private room,2,$92.00,,,,,,,
14153636,https://www.airbnb.com/rooms/14153636,King Zen Room near Harvard Biz School - STR383892,Allston,2134,United States,42.36093263073878,-71.1254883714559,Private room,2,$68.00,96,10,10,10,10,9,9
14161407,https://www.airbnb.com/rooms/14161407,Cute Jamaica Plain Condo,Jamaica Plain,2130,United States,42.31968622416286,-71.11205826620998,Entire home/apt,4,$180.00,100,10,10,10,10,10,10
14186170,https://www.airbnb.com/rooms/14186170,Large & Cozy 1 Bedroom in Center of South Boston,South Boston,2127,United States,42.33345441034461,-71.04789353494206,Entire home/apt,3,$180.00,98,10,10,10,10,10,10
14191723,https://www.airbnb.com/rooms/14191723,Feel right at home! 1BR w/ Private Deck-Close to T,Charlestown,2129,United States,42.3790886009274,-71.06301537985014,Entire home/apt,3,$117.00,93,10,10,10,10,9,10
14196181,https://www.airbnb.com/rooms/14196181,"@ NU, Hynes, Copley, Prudential, Boston Medical, T",Roxbury,2120,United States,42.33724826145963,-71.08384308548277,Entire home/apt,6,$94.00,97,10,10,10,10,9,10
14204600,https://www.airbnb.com/rooms/14204600,North End 2 BR | 1 BA Duplex in Little Italy,North End,2113,United States,42.36784682332886,-71.05300114479144,Entire home/apt,6,$275.00,98,10,10,10,10,10,10
14215317,https://www.airbnb.com/rooms/14215317,"(161-2) North End-Freedom Trail, TD Garden, 3 beds",North End,2113,United States,42.36677260940947,-71.05759193084558,Entire home/apt,6,$150.00,84,9,8,10,9,10,8
14216000,https://www.airbnb.com/rooms/14216000,"Longfellow Place, Lux 1Bd West End/Beacon Hill*",West End,2114,United States,42.362619131123324,-71.06590828345121,Entire home/apt,2,$219.00,100,10,10,10,10,10,10
14217967,https://www.airbnb.com/rooms/14217967,Stylish Studio in Historic Back Bay,Back Bay,2116,United States,42.35361675796534,-71.0773942234172,Entire home/apt,2,$200.00,97,10,10,10,10,10,10
14222649,https://www.airbnb.com/rooms/14222649,Chinatown Single Bedroom,Chinatown,2111,United States,42.348116363319,-71.06165024013819,Private room,2,$93.00,60,10,6,6,7,8,6
14237196,https://www.airbnb.com/rooms/14237196,"Lovely Back Bay Studio, public T, Downtown",Bay Village,2116,United States,42.349319949127846,-71.06682139176101,Entire home/apt,4,$118.00,95,10,10,10,10,10,9
14239909,https://www.airbnb.com/rooms/14239909,2brm/2bath home away from home downtown Boston,North End,2113,United States,42.36390464107974,-71.05755214010996,Entire home/apt,5,$198.00,97,10,9,10,10,10,9
14242888,https://www.airbnb.com/rooms/14242888,Blue Family  bedroom,Mattapan,2126,United States,42.27489916460158,-71.07706633773087,Private room,3,$70.00,95,10,10,10,10,9,10
14246956,https://www.airbnb.com/rooms/14246956,"2BR Downtown,sleeps 6! Transit,Chinatwn,South Stn",Chinatown,2111,United States,42.34754058861708,-71.06021712789311,Entire home/apt,6,$175.00,93,9,9,10,10,9,9
14251275,https://www.airbnb.com/rooms/14251275,"2bed Dwtn Boston,Tufts Medical,South Station,MBTA*",Chinatown,2111,United States,42.349611708674736,-71.06062286276435,Entire home/apt,5,$196.00,92,10,10,10,10,9,10
14253485,https://www.airbnb.com/rooms/14253485,Luxury S. End Brownstone T-3 available Sept 1 .20,Roxbury,2120,United States,42.33626242934877,-71.08489940933532,Entire home/apt,8,$500.00,55,7,6,7,7,6,5
14253538,https://www.airbnb.com/rooms/14253538,Cozy 1-Bedroom Roof Deck Apartment in Beacon Hill,Beacon Hill,2114,United States,42.36039584556532,-71.0700655592388,Entire home/apt,2,$250.00,100,10,10,10,10,10,10
