id,listing_url,name,neighbourhood_cleansed,zipcode,country,latitude,longitude,room_type,accommodates,price,review_scores_rating
22227556,https://www.airbnb.com/rooms/22227556,Cozy Studio in GREAT location (Downtown),Back Bay,2116,United States,42.35413266,-71.07316973,Entire home/apt,3,$109.00,92
22372179,https://www.airbnb.com/rooms/22372179,Boston area home,Roxbury,2119,United States,42.32060675,-71.07733806,Entire home/apt,16,$295.00,92
22386926,https://www.airbnb.com/rooms/22386926,Classic 2BR in Back Bay by Sonder,Back Bay,2116,United States,42.35238902,-71.08354476,Entire home/apt,4,$297.00,92
22435979,https://www.airbnb.com/rooms/22435979,Spacious South End Condo * SPECIAL MONTHLY PRICE *,South End,2118,United States,42.33942528,-71.07451445,Entire home/apt,4,$115.00,92
22438142,https://www.airbnb.com/rooms/22438142,"Charming 1BR, Great Location",Beacon Hill,2114,United States,42.36007892,-71.06918328,Entire home/apt,2,$80.00,92
22583276,https://www.airbnb.com/rooms/22583276,Serene 2BR in South End by Sonder,South End,2118,United States,42.33766476,-71.06975464,Entire home/apt,4,$229.00,92
22934377,https://www.airbnb.com/rooms/22934377,"2. Theatre, Tufts, Downtown-Location! 5 guests",Chinatown,2111,United States,42.3491472,-71.05991121,Entire home/apt,5,$209.00,92
22944278,https://www.airbnb.com/rooms/22944278,Large and Cozy room with private entrance,Hyde Park,2136,United States,42.2651978,-71.12227162,Private room,2,$79.00,92
23122616,https://www.airbnb.com/rooms/23122616,Playful Studio in Downtown Crossing by Sonder,Downtown,2116,United States,42.3517435,-71.06479328,Entire home/apt,2,$188.00,92
23124838,https://www.airbnb.com/rooms/23124838,Romantic Studio in Downtown Crossing by Sonder,Downtown,2116,United States,42.35123761,-71.06357401,Entire home/apt,2,$188.00,92
23131706,https://www.airbnb.com/rooms/23131706,A private room ||,Brighton,2135,United States,42.35417766,-71.14775961,Private room,3,$40.00,92
23274657,https://www.airbnb.com/rooms/23274657,"Cozy 3BR! Seconds to Subway, Minutes to Downtown!",South Boston,2127,United States,42.33022176,-71.05630731,Entire home/apt,7,$169.00,92
23544021,https://www.airbnb.com/rooms/23544021,Mission Hill with Keyless Entry,Mission Hill,2120,United States,42.32983776,-71.09779898,Entire home/apt,4,$195.00,92
23567704,https://www.airbnb.com/rooms/23567704,Washington 2 | 3BR 2BA | Emerald Necklace,Jamaica Plain,2130,United States,42.30881083,-71.10686999,Entire home/apt,8,$175.00,92
23624420,https://www.airbnb.com/rooms/23624420,"1 BDR-RosiSquare-15 min Boston, yard&park-5 people",Roslindale,2131,United States,42.27748588,-71.13347531,Entire home/apt,5,$130.00,92
23627923,https://www.airbnb.com/rooms/23627923,Hilltop3- 2 Fullbeds 4.6m  to City near T freeprk,Dorchester,2122,United States,42.30287509,-71.06488456,Private room,4,$29.00,92
24113222,https://www.airbnb.com/rooms/24113222,Private Bedroom with an en-suite.,Roxbury,2119,United States,42.32206352,-71.07257024,Private room,2,$56.00,92
24315639,https://www.airbnb.com/rooms/24315639,Beautiful Cozy Apartment | Minutes to Downtown,Roxbury,2119,United States,42.33004022,-71.08556598,Entire home/apt,6,$250.00,92
24377640,https://www.airbnb.com/rooms/24377640,Charming 1 bedroom Apt Beacon Hill-Boston,Beacon Hill,2114,United States,42.36067369,-71.06616187,Entire home/apt,3,$149.00,92
24648787,https://www.airbnb.com/rooms/24648787,Spacious private bedroom in modern Brownstone,Mission Hill,2120,United States,42.33346748,-71.10119056,Private room,3,$86.00,92
24715104,https://www.airbnb.com/rooms/24715104,One of Boston’s most vibrant neighborhoods!,Dorchester,2125,United States,42.3179528,-71.05498974,Entire home/apt,4,$75.00,92
24756096,https://www.airbnb.com/rooms/24756096,"Boston CHARMER 2 Bedroom, Best Location, Sleeps 6",Bay Village,2116,United States,42.34852233,-71.06924968,Entire home/apt,6,$175.00,92
